Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,CreditScore_binned
0,1,0.21621621621621623,9,0.0,1,1,0,0.3028926762505819,2
2,1,0.3378378378378379,8,0.32620778420433577,2,1,1,0.17950154239729893,3
0,0,0.36486486486486486,5,0.1908540634964579,1,1,1,0.2716692444128414,1
2,1,0.2972972972972973,1,0.5893102653750772,3,0,0,0.5397992008236786,1
0,0,0.22972972972972977,9,0.43023177258942075,2,0,0,0.24235759515033684,2
2,0,0.25675675675675674,1,0.3711628095694152,2,1,1,0.980432331287638,3
2,1,0.1756756756756757,7,0.4965889935630838,1,1,0,0.4303815514381623,1
0,1,0.16216216216216217,3,0.49470101585867,1,1,0,0.8110111515649744,2
0,1,0.24324324324324326,3,0.0,2,1,0,0.975200581655548,4
1,1,0.5,7,0.0,2,1,1,0.20979728564077868,1
0,1,0.21621621621621623,8,0.403016459790507,1,1,0,0.9820111320631119,0
0,1,0.1756756756756757,8,0.0,2,1,1,0.8495983366411491,1
2,1,0.36486486486486486,5,0.3333008633106773,2,0,0,0.18445781572140138,0
0,0,0.1756756756756757,7,0.0,2,0,1,0.24385768840924305,1
0,0,0.3378378378378379,5,0.0,1,1,1,0.23785706534974085,1
2,0,0.5,7,0.5222588980250906,1,0,1,0.378406187790934,1
0,0,0.27027027027027034,5,0.5086390255103178,1,1,0,0.6192315866165219,2
2,1,0.28265154327115366,8,0.6120903909631198,2,1,1,0.3833767124760415,1
0,0,0.09459459459459457,7,0.43310353618076575,2,1,0,0.9500920837940023,2
1,1,0.2027027027027027,1,0.0,1,1,0,0.653639322555304,2
0,1,0.27027027027027034,2,0.3662943787256412,2,1,1,0.5383602634051552,1
0,0,0.3243243243243243,4,0.0,2,1,0,0.607204087990403,2
0,0,0.5540540540540542,2,0.0,1,1,0,0.8983934465741477,2
0,0,0.14864864864864863,6,0.0,2,1,1,0.9539173491068396,2
0,1,0.16216216216216217,3,0.6586626466546638,1,0,0,0.674116728147538,3
0,1,0.3243243243243243,2,0.5562475983774927,1,1,0,0.21713998686874594,0
1,1,0.2837837837837838,7,0.5239913942748629,1,1,0,0.824899977947894,0
0,0,0.2027027027027027,1,0.0,2,0,0,0.3480177356937587,2
1,1,0.3108108108108108,4,0.45935638649142374,1,0,0,0.6821859987628818,1
1,1,0.2837837837837838,1,0.2406354707602597,1,1,0,0.20108000314029986,2
1,0,0.3243243243243243,2,0.0,2,0,0,1.0,2
1,0,0.27027027027027034,3,0.0,2,1,1,0.022571255554905488,1
0,1,0.28265154327115366,3,0.3680696014864044,1,1,1,0.815603740157185,0
0,1,0.1891891891891892,3,0.4636325848474973,1,1,0,0.386501460889515,0
1,0,0.37837837837837845,3,0.0,2,0,1,0.524505590283872,2
0,1,0.05405405405405406,9,0.0,2,1,0,0.37200432641317244,0
1,0,0.13513513513513514,3,0.5138735013885519,1,1,1,0.9903852317896358,1
1,0,0.37837837837837845,7,0.5497586290911981,1,1,1,0.33985740638230955,2
